lower_ci,upper_ci,method,n,iter
-0.679,3.511,trad,10,1
-0.41570933899872675,3.2470409712009145,robust,10,1
0.855,2.602,trad,100,1
0.051948817012349435,3.405422640102718,robust,100,1
0.884,1.259,trad,1000,1
0.7187540188600551,1.4242430796668706,robust,1000,1
-1.75,4.594,trad,10,2
0.05202376340346149,2.7918299957665518,robust,10,2
0.146,1.125,trad,100,2
-0.07181139050121721,1.3429574661530874,robust,100,2
0.574,1.051,trad,1000,2
0.36195266914026186,1.2635585065877692,robust,1000,2
-0.139,5.504,trad,10,3
0.7790213082466384,4.586131077782116,robust,10,3
0.195,1.22,trad,100,3
-0.18194850942430407,1.5970026470837893,robust,100,3
1.159,1.56,trad,1000,3
1.006189803287764,1.713248389261443,robust,1000,3
-2.05,4.047,trad,10,4
-2.530491800541168,4.5276612295290075,robust,10,4
1.047,2.023,trad,100,4
0.9086972682698363,2.1615242057813067,robust,100,4
1.005,1.518,trad,1000,4
0.7591289256799384,1.7634865956874712,robust,1000,4
-0.511,1.543,trad,10,5
-0.3984521682413178,1.4307535790029995,robust,10,5
0.243,1.194,trad,100,5
0.12925214670209473,1.3076921029990638,robust,100,5
0.951,1.439,trad,1000,5
0.6904497550802162,1.6995140888200946,robust,1000,5
-0.56,0.564,trad,10,6
-0.4439368573009951,0.44756317158432757,robust,10,6
1.09,2.172,trad,100,6
0.6499236969881201,2.6116726456726953,robust,100,6
0.66,1.072,trad,1000,6
0.5452807735054357,1.186050265436868,robust,1000,6
-0.871,4.587,trad,10,7
0.2526058254635999,3.462775980596348,robust,10,7
0.984,1.802,trad,100,7
0.7881030576368507,1.9981785956589206,robust,100,7
0.8,1.195,trad,1000,7
0.6666634987897871,1.3288153619253564,robust,1000,7
1.323,5.105,trad,10,8
1.7303581700072685,4.6974792288127585,robust,10,8
1.291,3.506,trad,100,8
-0.4942675471569786,5.291428399182131,robust,100,8
0.734,1.13,trad,1000,8
0.5971964693850016,1.2668832033632356,robust,1000,8
-1.05,4.762,trad,10,9
-1.7752634993352205,5.4871509426474105,robust,10,9
0.9,2.296,trad,100,9
0.2053530573538096,2.9905603638941605,robust,100,9
0.709,1.143,trad,1000,9
0.5463062063617411,1.3054501102018685,robust,1000,9
-0.63,3.108,trad,10,10
-0.3022751964095285,2.780288674633232,robust,10,10
0.893,1.928,trad,100,10
0.5265474510091929,2.2939741683509536,robust,100,10
0.913,1.281,trad,1000,10
0.7658273134061557,1.4279255896586218,robust,1000,10
-0.964,3.213,trad,10,11
-0.6376865021070219,2.886330438514797,robust,10,11
0.209,1.271,trad,100,11
-0.15006685815534992,1.6296523965262077,robust,100,11
0.728,1.123,trad,1000,11
0.6030642967811386,1.2478561264735677,robust,1000,11
1.501,4.201,trad,10,12
1.9073323677849632,3.7946224675948463,robust,10,12
0.097,1.293,trad,100,12
-0.07910910017837769,1.4687872195340896,robust,100,12
0.921,1.43,trad,1000,12
0.7134366548899331,1.6374909543664549,robust,1000,12
-0.561,5.192,trad,10,13
0.25372293381867506,4.377003057364524,robust,10,13
1.204,3.092,trad,100,13
0.5233105239696481,3.772894967075904,robust,100,13
0.76,1.184,trad,1000,13
0.6391337263781609,1.305526651036776,robust,1000,13
-1.23,2.913,trad,10,14
-1.1636051520827628,2.8465944791111273,robust,10,14
-0.428,0.94,trad,100,14
-0.8419702263204887,1.3545408827068364,robust,100,14
1.336,1.76,trad,1000,14
1.139705353710743,1.955555389879768,robust,1000,14
0.176,1.976,trad,10,15
0.21733551978214483,1.9349902463710236,robust,10,15
-0.562,0.751,trad,100,15
-1.0333424094714085,1.2224483858477346,robust,100,15
0.897,1.344,trad,1000,15
